"MSSubClass","MSZoning","LotArea","Alley","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolQC","Fence","SaleType","SaleCondition","SalePrice"
"X70","RM",9906,"Grvl","Reg","Lvl","OldTown","1Fam","2Story",4,4,1925,25,"Gable","MetalSd","MetalSd","None",0,"TA","CBlock","TA","TA","No","Unf",0,"Unf",0,686,686,"Fa","N","SBrkr",810,518,0,1328,0,1,0,3,1,"TA",8,0,"No","Detchd","Unf",1,210,"Y",0,172,60,0,0,1,"No","WD","Family",11.580584113444
"X50","RL",15660,"No","IR1","Lvl","Crawfor","1Fam","1.5Fin",7,9,1939,67,"Gable","VinylSd","VinylSd","BrkFace",312,"Gd","CBlock","TA","TA","No","BLQ",341,"Unf",0,457,798,"Ex","Y","SBrkr",1137,817,0,1954,0,1,1,3,1,"Gd",8,2,"TA","Attchd","Unf",2,431,"Y",0,119,150,0,0,1,"No","WD","Normal",12.6491546172096
"X120","RL",3010,"No","Reg","Lvl","Blmngtn","TwnhsE","1Story",7,5,2005,1,"Gable","VinylSd","VinylSd","BrkFace",16,"Gd","PConc","Gd","TA","Av","GLQ",16,"Unf",0,1232,1248,"Ex","Y","SBrkr",1248,0,0,1248,0,2,0,2,1,"Gd",5,0,"No","Attchd","Fin",2,438,"Y",108,0,0,0,0,1,"No","New","Partial",12.0271851854705
"X20","RL",8990,"No","IR1","Lvl","CollgCr","1Fam","1Story",7,5,2006,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","TA","Mn","Unf",0,"Unf",0,1498,1498,"Ex","Y","SBrkr",1498,0,0,1498,0,2,0,2,1,"Gd",5,0,"No","Attchd","RFn",2,675,"Y",351,33,0,0,0,1,"No","New","Partial",12.230277334227
"X60","RL",8068,"No","IR1","Lvl","Gilbert","1Fam","2Story",6,5,2002,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","TA","No","Unf",0,"Unf",0,1010,1010,"Ex","Y","SBrkr",1010,1257,0,2267,0,2,1,4,1,"Gd",8,1,"TA","BuiltIn","RFn",2,390,"Y",120,46,0,0,0,1,"No","ConLI","Normal",12.2060726455302
"X60","RL",11475,"No","Reg","Lvl","NWAmes","1Fam","2Story",6,6,1975,0,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","Gd","TA","No","ALQ",550,"Unf",0,163,713,"TA","Y","SBrkr",811,741,0,1552,1,2,1,3,1,"TA",6,1,"TA","Attchd","RFn",2,434,"Y",209,208,0,0,0,1,"MnPrv","WD","Normal",12.1001564199386
"X20","RL",10500,"No","Reg","Lvl","NAmes","1Fam","1Story",4,6,1971,0,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","TA","No","ALQ",524,"LwQ",180,160,864,"Gd","Y","SBrkr",864,0,0,864,0,1,0,2,1,"TA",4,0,"No","Detchd","Unf",2,576,"Y",216,0,0,0,0,1,"No","WD","Abnorml",11.4824662574855
"X20","RL",13472,"No","Reg","Lvl","NridgHt","1Fam","1Story",10,5,2003,0,"Hip","VinylSd","VinylSd","BrkFace",922,"Ex","PConc","Ex","TA","Gd","GLQ",56,"Unf",0,2336,2392,"Ex","Y","SBrkr",2392,0,0,2392,0,2,0,3,1,"Ex",8,1,"Ex","Attchd","Fin",3,968,"Y",248,105,0,0,0,1,"No","WD","Normal",12.8642401071941
"X160","RM",1869,"No","Reg","Lvl","BrDale","Twnhs","2Story",6,6,1970,0,"Gable","HdBoard","HdBoard","BrkFace",127,"TA","CBlock","TA","TA","No","Rec",321,"Unf",0,162,483,"TA","Y","SBrkr",483,504,0,987,0,1,1,2,1,"TA",5,0,"No","Detchd","Unf",1,280,"Y",0,0,0,0,0,1,"No","WD","Normal",11.5711943730942
"X20","RL",8521,"No","Reg","Lvl","Sawyer","1Fam","1Story",5,5,1967,0,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","TA","No","ALQ",842,"Unf",0,70,912,"TA","Y","SBrkr",912,0,0,912,0,1,0,3,1,"TA",5,1,"Fa","Detchd","Unf",1,336,"Y",0,0,0,0,0,1,"MnPrv","WD","Normal",11.7360690162844
"X120","RL",3182,"No","Reg","Lvl","Blmngtn","TwnhsE","1Story",7,5,2005,1,"Gable","VinylSd","VinylSd","BrkFace",16,"Gd","PConc","Gd","TA","Av","GLQ",16,"Unf",0,1357,1373,"Ex","Y","SBrkr",1555,0,0,1555,0,2,0,2,1,"Gd",7,1,"TA","Attchd","Fin",2,430,"Y",143,20,0,0,0,1,"No","WD","Normal",12.16785143271
"X20","RL",8760,"No","Reg","Lvl","NAmes","1Fam","1Story",6,6,1959,0,"Hip","MetalSd","MetalSd","BrkFace",220,"TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1194,1194,"TA","Y","SBrkr",1194,0,0,1194,1,1,0,3,1,"TA",6,0,"No","Attchd","RFn",1,312,"Y",0,0,120,0,0,1,"No","WD","Normal",11.9049675527463
"X60","RL",15138,"No","IR1","Lvl","NoRidge","1Fam","2Story",8,5,1995,1,"Gable","VinylSd","VinylSd","BrkFace",506,"Gd","PConc","Gd","TA","No","GLQ",689,"Unf",0,773,1462,"Ex","Y","SBrkr",1490,1304,0,2794,1,2,1,4,1,"Ex",9,1,"TA","Attchd","Fin",3,810,"Y",0,146,202,0,0,1,"No","WD","Normal",12.9066918409288
"X160","RM",1680,"No","Reg","Lvl","BrDale","Twnhs","2Story",6,5,1972,0,"Gable","HdBoard","HdBoard","BrkFace",297,"TA","CBlock","TA","TA","No","Unf",0,"Unf",0,483,483,"TA","Y","SBrkr",483,504,0,987,0,1,1,2,1,"TA",5,1,"Po","Attchd","Unf",1,288,"Y",0,0,0,0,0,1,"No","WD","Normal",11.4563551134818
"X20","RL",10650,"No","Reg","Lvl","CollgCr","1Fam","1Story",5,6,1976,0,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","Gd","Av","LwQ",182,"ALQ",712,0,894,"TA","Y","SBrkr",894,0,0,894,1,1,0,3,1,"TA",5,0,"No","Attchd","Unf",1,308,"Y",365,0,0,0,0,1,"MnPrv","WD","Normal",11.7613468234687
"X60","RL",7851,"No","Reg","Lvl","Gilbert","1Fam","2Story",6,5,2002,0,"Gable","VinylSd","VinylSd",NA,NA,"Gd","PConc","Gd","TA","No","GLQ",625,"Unf",0,235,860,"Ex","Y","SBrkr",860,1100,0,1960,1,2,1,4,1,"Gd",8,2,"TA","BuiltIn","Fin",2,440,"Y",288,48,0,0,0,1,"No","WD","Normal",12.2853458264247
"X160","RM",1680,"No","Reg","Lvl","BrDale","TwnhsE","2Story",6,3,1971,0,"Gable","HdBoard","HdBoard","BrkFace",604,"TA","CBlock","TA","TA","No","ALQ",358,"Unf",0,125,483,"TA","Y","SBrkr",483,504,0,987,0,1,1,2,1,"TA",5,0,"No","Detchd","Unf",1,264,"Y",0,0,0,0,0,1,"No","WD","Normal",11.4019939042629
"X60","RL",9453,"No","IR1","Lvl","SawyerW","1Fam","2Story",7,7,1993,10,"Gable","HdBoard","HdBoard","None",0,"Gd","PConc","Gd","TA","No","BLQ",402,"Unf",0,594,996,"Ex","Y","SBrkr",1014,730,0,1744,0,2,1,3,1,"Gd",7,0,"No","Attchd","RFn",2,457,"Y",370,70,0,238,0,1,"No","WD","Normal",12.1781874420406
"X20","RL",12030,"No","Reg","Lvl","NridgHt","1Fam","1Story",8,5,2007,0,"Hip","VinylSd","VinylSd","BrkFace",254,"Ex","PConc","Ex","TA","No","Unf",0,"Unf",0,1694,1694,"Ex","Y","SBrkr",1694,0,0,1694,0,2,0,3,1,"Gd",7,0,"No","Attchd","Fin",3,818,"Y",168,228,0,0,0,1,"No","New","Partial",12.6698066617623
"X30","RM",3880,"No","Reg","Lvl","OldTown","1Fam","1Story",5,9,1945,52,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","TA","TA","No","ALQ",329,"Unf",0,357,686,"Gd","Y","SBrkr",866,0,0,866,0,1,0,2,1,"Gd",4,0,"No","No","No",0,0,"Y",58,42,0,0,0,1,"No","WD","Normal",11.6127707999399
"X160","RL",10762,"No","Reg","Lvl","SawyerW","TwnhsE","2Story",6,6,1980,0,"Gable","Plywood","Plywood","None",0,"TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,626,626,"TA","Y","SBrkr",626,591,0,1217,0,1,1,3,1,"TA",6,1,"TA","Attchd","RFn",1,288,"Y",0,28,0,0,0,1,"No","WD","Normal",11.6952470217642
"X60","RL",8880,"No","IR1","Lvl","SawyerW","1Fam","2Story",7,5,1994,8,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","TA","No","GLQ",695,"Unf",0,253,948,"Ex","Y","SBrkr",1222,888,0,2110,1,2,1,3,1,"Gd",8,2,"Fa","Attchd","RFn",2,463,"Y",0,130,0,0,0,1,"No","WD","Normal",12.2307652581205
"X20","RL",10400,"No","Reg","Lvl","NWAmes","1Fam","1Story",7,5,1988,0,"Gable","Wd Sdng","Wd Sdng","BrkFace",102,"TA","CBlock","Gd","TA","Av","GLQ",929,"Unf",0,916,1845,"Gd","Y","SBrkr",1872,0,0,1872,0,2,0,3,1,"TA",6,1,"TA","Attchd","Fin",2,604,"Y",197,39,0,0,0,1,"No","WD","Normal",12.3946247520748
"X190","RM",9142,"Grvl","Reg","Lvl","OldTown","2fmCon","2Story",6,8,1910,40,"Gable","AsbShng","AsbShng","None",0,"TA","Stone","Fa","TA","No","Unf",0,"Unf",0,1020,1020,"Gd","N","FuseP",908,1020,0,1928,0,2,0,4,2,"Fa",9,0,"No","Detchd","Unf",1,440,"Y",0,60,112,0,0,1,"No","WD","Normal",11.8277362048103
"X20","RL",11310,"No","Reg","Lvl","NAmes","1Fam","1Story",6,5,1954,0,"Hip","Wd Sdng","BrkFace","None",0,"TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1367,1367,"Ex","Y","SBrkr",1375,0,0,1375,0,1,0,2,1,"TA",5,1,"TA","Attchd","Unf",2,451,"Y",0,30,0,0,0,1,"No","WD","Normal",11.8493977015914
"X60","RL",11317,"No","Reg","Lvl","CollgCr","1Fam","2Story",7,5,2003,0,"Gable","VinylSd","VinylSd","BrkFace",101,"Gd","PConc","Gd","TA","No","Unf",0,"Unf",0,840,840,"Ex","Y","SBrkr",840,828,0,1668,0,2,1,3,1,"Gd",8,0,"No","Attchd","RFn",2,500,"Y",144,68,0,0,0,1,"No","WD","Normal",12.1007121298723
"X50","RL",159000,"No","IR2","Low","ClearCr","1Fam","1.5Fin",6,7,1958,48,"Gable","Wd Sdng","HdBoard","BrkCmn",472,"Gd","CBlock","Gd","TA","Gd","Rec",697,"Unf",0,747,1444,"Gd","Y","SBrkr",1444,700,0,2144,0,2,0,4,1,"Gd",7,2,"TA","Attchd","Fin",2,389,"Y",0,98,0,0,0,1,"No","WD","Normal",12.5317727851695
"X30","RL",5350,"No","IR1","Lvl","BrkSide","1Fam","1Story",3,2,1940,26,"Gable","Wd Sdng","Plywood","None",0,"TA","CBlock","TA","TA","No","Unf",0,"Unf",0,728,728,"Ex","Y","SBrkr",1306,0,0,1306,0,1,0,3,1,"Fa",6,0,"No","No","No",0,0,"Y",263,0,0,0,0,1,"GdWo","WD","Normal",11.2450460198146
"X60","RL",8366,"No","IR1","Lvl","SawyerW","1Fam","2Story",6,5,2004,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","TA","No","Unf",0,"Unf",0,798,798,"Ex","Y","SBrkr",798,842,0,1640,0,2,1,3,1,"Gd",6,0,"No","Attchd","RFn",2,520,"Y",138,45,0,0,0,1,"No","WD","Normal",12.0610468734799
"X80","RL",9350,"No","Reg","Lvl","NAmes","1Fam","SLvl",6,7,1964,27,"Hip","HdBoard","HdBoard","BrkFace",108,"TA","CBlock","Gd","TA","Gd","LwQ",270,"ALQ",580,452,1302,"Ex","Y","SBrkr",1302,0,0,1302,0,2,0,3,1,"Gd",7,0,"No","Attchd","RFn",1,309,"Y",333,0,0,0,0,1,"MnPrv","CWD","Normal",11.9703503120091
"X20","RL",8814,"No","Reg","Lvl","CollgCr","1Fam","1Story",7,5,2006,0,"Gable","VinylSd","VinylSd","Stone",180,"Gd","PConc","Gd","TA","No","GLQ",1334,"Unf",0,270,1604,"Ex","Y","SBrkr",1604,0,0,1604,1,2,1,3,1,"Gd",8,1,"Gd","Attchd","RFn",2,660,"Y",123,110,0,0,0,1,"No","WD","Abnorml",12.3013828253345
"X60","RL",12435,"No","Reg","Lvl","CollgCr","1Fam","2Story",7,5,2001,0,"Gable","VinylSd","VinylSd","BrkFace",172,"Gd","PConc","Gd","TA","No","GLQ",361,"Unf",0,602,963,"Ex","Y","SBrkr",963,829,0,1792,0,2,1,3,1,"Gd",7,1,"TA","Attchd","RFn",2,564,"Y",0,96,0,245,0,1,"No","WD","Normal",12.3523351525084
"X20","RM",12702,"No","Reg","Lvl","OldTown","1Fam","1Story",5,5,1956,0,"Gable","BrkFace","BrkFace","None",0,"TA","PConc","No","No","No","No",0,"No",0,0,0,"Gd","Y","FuseA",882,0,0,882,0,1,0,2,1,"TA",4,0,"No","Detchd","Unf",1,308,"Y",0,45,0,0,0,1,"No","WD","Normal",11.4824662574855
"X80","RL",19296,"No","Reg","Lvl","NAmes","1Fam","SLvl",6,5,1962,0,"Gable","Wd Sdng","Wd Sdng","BrkFace",399,"TA","CBlock","TA","TA","Gd","Rec",672,"ALQ",690,0,1362,"TA","Y","SBrkr",1382,0,0,1382,1,1,0,3,1,"TA",6,1,"TA","Attchd","Unf",2,884,"Y",0,0,252,0,0,1,"GdWo","WD","Normal",12.0782392740203
"X60","RL",9588,"No","IR1","Lvl","CollgCr","1Fam","2Story",8,5,2007,0,"Gable","CemntBd","CmentBd","Stone",270,"Gd","PConc","Ex","TA","No","Unf",0,"Unf",0,1482,1482,"Ex","Y","SBrkr",1482,1092,0,2574,0,2,1,3,1,"Ex",10,1,"Gd","BuiltIn","Fin",3,868,"Y",0,148,0,0,0,1,"No","New","Partial",12.5281561446993
"X80","RL",8471,"No","IR1","Lvl","Sawyer","1Fam","SLvl",6,7,1977,18,"Gable","HdBoard","Plywood","BrkFace",46,"TA","CBlock","Gd","Gd","Av","ALQ",506,"Unf",0,0,506,"TA","Y","SBrkr",1212,0,0,1212,1,1,0,3,1,"TA",6,1,"TA","Attchd","Unf",2,492,"Y",292,12,0,0,0,1,"GdWo","WD","Normal",11.9250351157971
"X50","RM",5500,"No","Reg","Lvl","OldTown","1Fam","1.5Fin",5,7,1929,72,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","BrkTil","TA","TA","No","LwQ",234,"ALQ",692,0,926,"TA","Y","SBrkr",926,0,390,1316,1,1,0,3,1,"TA",6,0,"No","Detchd","Unf",2,484,"Y",0,0,0,0,0,1,"No","WD","Normal",11.7752897294377
"X20","RL",12090,"No","IR1","Lvl","NWAmes","1Fam","1Story",6,6,1981,0,"Gable","MetalSd","MetalSd","BrkFace",210,"TA","CBlock","Gd","TA","No","GLQ",588,"LwQ",228,606,1422,"TA","Y","SBrkr",1422,0,0,1422,0,2,0,3,1,"Gd",7,1,"TA","Attchd","Fin",2,576,"Y",276,0,0,0,0,1,"GdPrv","WD","Normal",12.0753943218881
"X60","RL",11207,"No","IR1","HLS","Gilbert","1Fam","2Story",6,5,1997,0,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","TA","Av","GLQ",714,"Unf",0,88,802,"Gd","Y","SBrkr",802,709,0,1511,1,2,1,3,1,"TA",8,1,"TA","Attchd","Fin",2,413,"Y",95,75,0,0,0,1,"No","WD","Normal",12.1281111040605
"X75","RL",8400,"No","Reg","Bnk","SWISU","1Fam","2.5Fin",5,8,1939,58,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","PConc","TA","TA","No","LwQ",378,"Unf",0,342,720,"Ex","Y","SBrkr",1052,720,420,2192,0,2,1,4,1,"Gd",8,1,"Gd","Detchd","Unf",1,240,"Y",262,24,0,0,0,1,"No","WD","Normal",12.0979304869105
"X60","FV",10728,"No","Reg","Lvl","Somerst","1Fam","2Story",8,5,2006,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","TA","Mn","Unf",0,"Unf",0,1095,1095,"Gd","Y","SBrkr",1095,844,0,1939,0,2,1,3,1,"Gd",8,1,"Gd","Attchd","RFn",3,1053,"Y",192,51,0,0,0,1,"No","New","Partial",12.4912515877638
"X60","RL",11764,"No","IR1","Lvl","NoRidge","1Fam","2Story",8,7,1999,8,"Gable","VinylSd","VinylSd","BrkFace",348,"Gd","PConc","Gd","TA","No","GLQ",524,"Unf",0,628,1152,"Ex","Y","SBrkr",1164,1106,0,2270,0,2,1,4,1,"Gd",9,1,"Gd","Attchd","Fin",3,671,"Y",132,57,0,0,0,1,"No","WD","Normal",12.5776362019627
"X20","RL",9600,"No","Reg","Lvl","NAmes","1Fam","1Story",6,6,1958,30,"Hip","Wd Sdng","Wd Sdng","BrkCmn",183,"TA","CBlock","TA","TA","No","Rec",620,"LwQ",620,0,1240,"Gd","Y","SBrkr",1632,0,0,1632,1,2,0,3,1,"TA",6,1,"Gd","Attchd","RFn",1,338,"Y",289,0,0,0,0,1,"MnPrv","WD","Normal",11.8422292121128
"X20","RL",8314,"No","Reg","Lvl","Mitchel","1Fam","1Story",5,7,1982,0,"Gable","HdBoard","ImStucc","None",0,"TA","CBlock","TA","TA","Gd","ALQ",546,"Unf",0,270,816,"TA","Y","SBrkr",816,0,0,816,0,1,0,2,1,"TA",5,0,"No","Attchd","Unf",1,264,"Y",168,0,0,0,0,1,"No","WD","Normal",11.7320609948869
"X50","RL",7264,"No","Reg","Lvl","BrkSide","1Fam","1.5Fin",7,7,1925,82,"Gable","Wd Sdng","Wd Sdng","None",0,"Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,952,952,"Gd","N","SBrkr",952,596,0,1548,0,2,1,3,1,"Ex",5,0,"No","Detchd","Unf",2,672,"Y",74,0,0,0,144,1,"No","WD","Normal",12.2307652581205
"X20","RL",9196,"No","IR1","Lvl","Mitchel","1Fam","1Story",7,5,2003,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Ex","TA","No","Unf",0,"Unf",0,1560,1560,"Ex","Y","SBrkr",1560,0,0,1560,0,2,0,3,1,"Gd",7,0,"No","Attchd","Fin",2,573,"Y",100,150,0,0,0,1,"No","WD","Normal",12.2110601870412
"X20","RL",19138,"No","Reg","Lvl","Gilbert","1Fam","1Story",4,5,1951,0,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","TA","TA","No","LwQ",120,"Unf",0,744,864,"Ex","Y","SBrkr",864,0,0,864,0,1,0,2,1,"TA",4,0,"No","Detchd","Unf",2,400,"Y",0,0,0,0,0,1,"No","WD","Normal",11.8565151693603
"X20","RL",14450,"No","Reg","Lvl","NridgHt","1Fam","1Story",9,5,2006,1,"Gable","CemntBd","CmentBd","BrkFace",315,"Ex","PConc","Ex","TA","Gd","Unf",0,"Unf",0,2121,2121,"Ex","Y","SBrkr",2121,0,0,2121,0,2,1,3,1,"Ex",8,1,"Ex","Attchd","Fin",3,732,"Y",124,98,0,0,142,1,"No","New","Partial",12.9367516138114
"X60","RL",10005,"No","Reg","Lvl","ClearCr","1Fam","2Story",7,5,1977,0,"Hip","Plywood","Plywood","BrkFace",299,"TA","CBlock","Gd","TA","No","BLQ",392,"Unf",0,768,1160,"Ex","Y","SBrkr",1156,866,0,2022,0,2,1,4,1,"TA",8,1,"TA","Attchd","Fin",2,505,"Y",288,117,0,0,0,1,"No","WD","Normal",12.1652506510099
"X60","RL",11287,"No","Reg","Lvl","SawyerW","1Fam","2Story",7,6,1989,0,"Gable","Plywood","Plywood","BrkFace",340,"Gd","CBlock","Gd","TA","Av","GLQ",421,"Unf",0,386,807,"Gd","Y","SBrkr",1175,807,0,1982,0,2,1,3,1,"Gd",7,1,"TA","Attchd","Fin",2,575,"Y",0,84,0,196,0,1,"No","WD","Normal",12.3392914893164
"X20","FV",7200,"Pave","Reg","Lvl","Somerst","1Fam","1Story",6,5,2006,0,"Gable","VinylSd","VinylSd","Stone",68,"Gd","PConc","Gd","TA","No","GLQ",905,"Unf",0,357,1262,"Gd","Y","SBrkr",1262,0,0,1262,0,2,0,2,1,"Gd",5,0,"No","Attchd","Fin",2,572,"Y",0,120,0,0,0,1,"No","New","Partial",12.1281111040605
"X120","RL",8012,"No","Reg","Lvl","SawyerW","TwnhsE","1Story",6,5,1992,0,"Gable","Plywood","ImStucc","None",0,"Gd","PConc","Gd","TA","No","GLQ",430,"Unf",0,1145,1575,"Gd","Y","SBrkr",1575,0,0,1575,1,2,0,2,1,"Gd",5,0,"No","Attchd","RFn",2,529,"Y",0,0,52,0,0,1,"No","WD","Normal",12.096257779523
"X50","RL",9786,"No","IR1","Bnk","NAmes","1Fam","1.5Fin",6,7,1962,19,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","CBlock","TA","TA","No","Rec",600,"Unf",0,312,912,"TA","Y","SBrkr",1085,649,0,1734,0,1,1,3,1,"Gd",7,1,"Gd","Attchd","RFn",2,440,"Y",0,0,0,0,128,1,"GdPrv","WD","Normal",11.9766594812024
"X70","RL",8730,"No","Reg","Lvl","BrkSide","1Fam","2Story",6,7,1915,88,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,698,698,"Ex","Y","FuseA",698,698,0,1396,0,1,0,3,1,"TA",7,0,"No","Detchd","Unf",1,384,"Y",0,0,0,0,259,1,"No","WD","Normal",11.9419443260321
"X190","RL",5687,"Grvl","Reg","Bnk","SWISU","2fmCon","2Story",5,6,1912,88,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","TA","Fa","No","Rec",210,"Unf",0,570,780,"Ex","N","SBrkr",936,780,0,1716,1,2,0,6,1,"Fa",9,0,"No","No","No",0,0,"N",0,184,0,0,0,1,"No","WD","Normal",11.8196746001392
"X50","RL",11409,"No","Reg","Lvl","Edwards","1Fam","1.5Fin",5,4,1949,59,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","CBlock","TA","TA","No","LwQ",292,"Unf",0,476,768,"Gd","Y","SBrkr",1148,568,0,1716,0,1,1,3,1,"TA",8,1,"Gd","Attchd","Unf",1,281,"Y",0,0,0,0,160,1,"No","WD","Normal",11.7829526021833
"X20","RL",9600,"No","Reg","Lvl","NAmes","1Fam","1Story",6,5,1953,0,"Hip","HdBoard","HdBoard","Stone",238,"TA","CBlock","TA","TA","No","GLQ",1285,"Unf",0,131,1416,"TA","Y","SBrkr",1644,0,0,1644,1,1,0,3,1,"TA",7,2,"Gd","Attchd","Fin",2,418,"Y",110,0,0,0,0,1,"No","WD","Normal",12.0257490913989
"X80","RL",7937,"No","IR1","Lvl","Mitchel","1Fam","SLvl",6,6,1984,0,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","TA","Av","GLQ",819,"Unf",0,184,1003,"TA","Y","SBrkr",1003,0,0,1003,1,1,0,3,1,"TA",6,0,"No","Detchd","Unf",2,588,"Y",120,0,0,0,0,1,"GdPrv","WD","Normal",11.8670972786908
"X50","RM",13710,"No","Reg","Lvl","IDOTRR","1Fam","1.5Fin",5,5,1950,0,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","CBlock","TA","TA","No","BLQ",420,"Unf",0,490,910,"TA","Y","FuseA",910,648,0,1558,0,1,1,4,1,"TA",6,0,"No","Attchd","Unf",1,282,"Y",289,0,0,0,0,1,"MnPrv","WD","Normal",11.9316357998284
"X60","FV",7399,"Pave","IR1","Lvl","Somerst","1Fam","2Story",7,5,1997,1,"Hip","VinylSd","VinylSd","BrkFace",1600,"Gd","PConc","Gd","TA","No","BLQ",649,"Unf",0,326,975,"Ex","Y","SBrkr",975,975,0,1950,0,2,1,3,1,"Gd",7,1,"TA","Detchd","RFn",2,576,"Y",0,10,0,0,198,1,"No","WD","Normal",12.3842188309136
"X60","RL",11700,"No","Reg","Lvl","NWAmes","1Fam","2Story",6,6,1968,0,"Mansard","HdBoard","AsphShn","BrkFace",365,"Gd","CBlock","TA","TA","No","ALQ",384,"Rec",175,143,702,"Gd","Y","SBrkr",1041,702,0,1743,0,1,2,3,1,"TA",7,1,"Gd","Attchd","Unf",2,539,"Y",224,0,0,0,0,1,"No","WD","Normal",12.0725412529057
"X20","RL",14000,"No","Reg","Lvl","Crawfor","1Fam","1Story",6,8,1950,54,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1092,1092,"Ex","Y","SBrkr",1152,0,0,1152,0,1,0,3,1,"Gd",6,1,"Gd","Attchd","Unf",1,300,"Y",0,36,0,0,0,1,"GdPrv","WD","Family",11.9735098722995
"X60","RL",16226,"No","IR3","Lvl","CollgCr","1Fam","2Story",8,5,1998,1,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","TA","No","GLQ",281,"Unf",0,747,1028,"Ex","Y","SBrkr",1210,1242,0,2452,0,2,1,4,1,"Gd",9,1,"TA","BuiltIn","Fin",2,683,"Y",208,50,0,0,0,1,"No","WD","Normal",12.4950039373824
"X20","RL",10386,"No","Reg","Lvl","CollgCr","1Fam","1Story",8,5,2004,1,"Gable","CemntBd","CmentBd","Stone",246,"Gd","PConc","Gd","TA","No","GLQ",1464,"Unf",0,536,2000,"Ex","Y","SBrkr",2000,0,0,2000,1,2,0,3,1,"Gd",8,0,"No","Attchd","Fin",3,888,"Y",168,0,0,0,0,1,"No","WD","Normal",12.631013530139
"X60","RL",13474,"No","Reg","Lvl","SawyerW","1Fam","2Story",7,5,1990,1,"Gable","HdBoard","Plywood","BrkFace",246,"Gd","CBlock","Gd","TA","No","ALQ",700,"Unf",0,0,700,"Gd","Y","SBrkr",1122,1121,0,2243,1,2,1,4,1,"Gd",8,1,"TA","Attchd","RFn",3,746,"Y",127,44,224,0,0,1,"No","WD","Normal",12.3238556811866
"X30","RL",12342,"No","IR1","Lvl","Edwards","1Fam","1Story",4,5,1940,10,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","TA","TA","No","BLQ",262,"Unf",0,599,861,"Ex","Y","SBrkr",861,0,0,861,0,1,0,1,1,"TA",4,0,"No","Detchd","Unf",2,539,"Y",158,0,0,0,0,1,"No","WD","Normal",11.3205535723228
"X20","RL",12378,"No","IR1","Lvl","NridgHt","1Fam","1Story",9,5,2003,1,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Ex","TA","Gd","GLQ",1274,"Unf",0,622,1896,"Ex","Y","SBrkr",1944,0,0,1944,1,2,0,3,1,"Ex",8,3,"Ex","Attchd","Fin",3,708,"Y",208,175,0,0,0,1,"No","WD","Normal",12.7938593104323
"X60","RL",7685,"No","IR1","Lvl","Gilbert","1Fam","2Story",6,5,1993,1,"Gable","HdBoard","HdBoard","BrkFace",112,"TA","PConc","Gd","TA","No","ALQ",518,"Unf",0,179,697,"Gd","Y","SBrkr",697,804,0,1501,0,2,1,3,1,"Gd",6,1,"TA","Attchd","Fin",2,420,"Y",190,63,0,0,0,1,"No","WD","Normal",12.0173305209333
